ensemblid	annotcategory
ENSG00000005844	Intracellular or membrane-bound
ENSG00000011422	Intracellular or membrane-bound
ENSG00000015413	Intracellular or membrane-bound
ENSG00000068078	Intracellular or membrane-bound
ENSG00000073756	Intracellular or membrane-bound
ENSG00000087085	Intracellular or membrane-bound
ENSG00000089597	Intracellular or membrane-bound
ENSG00000091181	Intracellular or membrane-bound
ENSG00000095303	Intracellular or membrane-bound
ENSG00000103485	Intracellular or membrane-bound
ENSG00000105711	Intracellular or membrane-bound
ENSG00000106128	Intracellular or membrane-bound
ENSG00000113494	Intracellular or membrane-bound
ENSG00000115232	Intracellular or membrane-bound
ENSG00000115705	Intracellular or membrane-bound
ENSG00000119535	Intracellular or membrane-bound
ENSG00000119912	Intracellular or membrane-bound
ENSG00000120088	Intracellular or membrane-bound
ENSG00000121594	Intracellular or membrane-bound
ENSG00000123454	Intracellular or membrane-bound
ENSG00000128052	Intracellular or membrane-bound
ENSG00000128655	Intracellular or membrane-bound
ENSG00000130035	Intracellular or membrane-bound
ENSG00000134853	Intracellular or membrane-bound
ENSG00000136869	Intracellular or membrane-bound
ENSG00000137675	Intracellular or membrane-bound
ENSG00000138823	Intracellular or membrane-bound
ENSG00000148795	Intracellular or membrane-bound
ENSG00000151834	Intracellular or membrane-bound
ENSG00000153029	Intracellular or membrane-bound
ENSG00000153956	Intracellular or membrane-bound
ENSG00000158125	Intracellular or membrane-bound
ENSG00000160712	Intracellular or membrane-bound
ENSG00000160867	Intracellular or membrane-bound
ENSG00000163286	Intracellular or membrane-bound
ENSG00000163599	Intracellular or membrane-bound
ENSG00000165409	Intracellular or membrane-bound
ENSG00000167397	Intracellular or membrane-bound
ENSG00000168959	Intracellular or membrane-bound
ENSG00000170820	Intracellular or membrane-bound
ENSG00000182578	Intracellular or membrane-bound
ENSG00000183023	Intracellular or membrane-bound
ENSG00000187266	Intracellular or membrane-bound
ENSG00000197632	Intracellular or membrane-bound
ENSG00000198019	Intracellular or membrane-bound
ENSG00000198848	Intracellular or membrane-bound
ENSG00000204370	Intracellular or membrane-bound
ENSG00000204681	Intracellular or membrane-bound
ENSG00000223572	Intracellular or membrane-bound
ENSG00000237289	Intracellular or membrane-bound
ENSG00000259207	Intracellular or membrane-bound
ENSG00000002587	Intracellular or membrane-bound
ENSG00000003137	Intracellular or membrane-bound
ENSG00000004139	Intracellular or membrane-bound
ENSG00000004487	Intracellular or membrane-bound
ENSG00000004776	Intracellular or membrane-bound
ENSG00000004961	Intracellular or membrane-bound
ENSG00000005381	Intracellular or membrane-bound
ENSG00000006432	Intracellular or membrane-bound
ENSG00000006530	Intracellular or membrane-bound
ENSG00000006757	Intracellular or membrane-bound
ENSG00000007038	Intracellular or membrane-bound
ENSG00000007306	Intracellular or membrane-bound
ENSG00000008277	Intracellular or membrane-bound
ENSG00000008513	Intracellular or membrane-bound
ENSG00000009950	Intracellular or membrane-bound
ENSG00000010404	Intracellular or membrane-bound
ENSG00000011295	Intracellular or membrane-bound
ENSG00000013523	Intracellular or membrane-bound
ENSG00000013563	Intracellular or membrane-bound
ENSG00000015479	Intracellular or membrane-bound
ENSG00000016602	Intracellular or membrane-bound
ENSG00000018236	Intracellular or membrane-bound
ENSG00000018510	Intracellular or membrane-bound
ENSG00000023318	Intracellular or membrane-bound
ENSG00000029534	Intracellular or membrane-bound
ENSG00000033011	Intracellular or membrane-bound
ENSG00000033100	Intracellular or membrane-bound
ENSG00000036530	Intracellular or membrane-bound
ENSG00000037749	Intracellular or membrane-bound
ENSG00000038002	Intracellular or membrane-bound
ENSG00000042493	Intracellular or membrane-bound
ENSG00000042781	Intracellular or membrane-bound
ENSG00000044524	Intracellular or membrane-bound
ENSG00000044574	Intracellular or membrane-bound
ENSG00000047648	Intracellular or membrane-bound
ENSG00000048649	Intracellular or membrane-bound
ENSG00000049130	Intracellular or membrane-bound
ENSG00000049239	Intracellular or membrane-bound
ENSG00000049449	Intracellular or membrane-bound
ENSG00000049860	Intracellular or membrane-bound
ENSG00000050344	Intracellular or membrane-bound
ENSG00000054983	Intracellular or membrane-bound
ENSG00000055813	Intracellular or membrane-bound
ENSG00000056291	Intracellular or membrane-bound
ENSG00000056736	Intracellular or membrane-bound
ENSG00000057663	Intracellular or membrane-bound
ENSG00000063660	Intracellular or membrane-bound
ENSG00000064601	Intracellular or membrane-bound
ENSG00000064703	Intracellular or membrane-bound
ENSG00000065427	Intracellular or membrane-bound
ENSG00000065485	Intracellular or membrane-bound
ENSG00000065911	Intracellular or membrane-bound
ENSG00000065978	Intracellular or membrane-bound
ENSG00000066056	Intracellular or membrane-bound
ENSG00000066248	Intracellular or membrane-bound
ENSG00000067248	Intracellular or membrane-bound
ENSG00000067596	Intracellular or membrane-bound
ENSG00000068120	Intracellular or membrane-bound
ENSG00000068383	Intracellular or membrane-bound
ENSG00000068912	Intracellular or membrane-bound
ENSG00000069206	Intracellular or membrane-bound
ENSG00000069998	Intracellular or membrane-bound
ENSG00000070731	Intracellular or membrane-bound
ENSG00000070886	Intracellular or membrane-bound
ENSG00000071537	Intracellular or membrane-bound
ENSG00000072042	Intracellular or membrane-bound
ENSG00000072201	Intracellular or membrane-bound
ENSG00000072682	Intracellular or membrane-bound
ENSG00000073067	Intracellular or membrane-bound
ENSG00000073169	Intracellular or membrane-bound
ENSG00000073737	Intracellular or membrane-bound
ENSG00000074660	Intracellular or membrane-bound
ENSG00000075035	Intracellular or membrane-bound
ENSG00000075891	Intracellular or membrane-bound
ENSG00000076555	Intracellular or membrane-bound
ENSG00000076716	Intracellular or membrane-bound
ENSG00000078070	Intracellular or membrane-bound
ENSG00000078725	Intracellular or membrane-bound
ENSG00000078808	Intracellular or membrane-bound
ENSG00000078898	Intracellular or membrane-bound
ENSG00000079150	Intracellular or membrane-bound
ENSG00000079385	Intracellular or membrane-bound
ENSG00000079689	Intracellular or membrane-bound
ENSG00000081237	Intracellular or membrane-bound
ENSG00000081842	Intracellular or membrane-bound
ENSG00000081913	Intracellular or membrane-bound
ENSG00000081985	Intracellular or membrane-bound
ENSG00000082641	Intracellular or membrane-bound
ENSG00000083123	Intracellular or membrane-bound
ENSG00000083444	Intracellular or membrane-bound
ENSG00000083720	Intracellular or membrane-bound
ENSG00000083857	Intracellular or membrane-bound
ENSG00000084090	Intracellular or membrane-bound
ENSG00000084092	Intracellular or membrane-bound
ENSG00000085063	Intracellular or membrane-bound
ENSG00000085465	Intracellular or membrane-bound
ENSG00000085552	Intracellular or membrane-bound
ENSG00000085832	Intracellular or membrane-bound
ENSG00000086062	Intracellular or membrane-bound
ENSG00000086289	Intracellular or membrane-bound
ENSG00000086619	Intracellular or membrane-bound
ENSG00000086730	Intracellular or membrane-bound
ENSG00000087128	Intracellular or membrane-bound
ENSG00000087460	Intracellular or membrane-bound
ENSG00000088053	Intracellular or membrane-bound
ENSG00000088298	Intracellular or membrane-bound
ENSG00000088827	Intracellular or membrane-bound
ENSG00000089127	Intracellular or membrane-bound
ENSG00000089199	Intracellular or membrane-bound
ENSG00000089248	Intracellular or membrane-bound
ENSG00000089356	Intracellular or membrane-bound
ENSG00000089902	Intracellular or membrane-bound
ENSG00000090376	Intracellular or membrane-bound
ENSG00000090520	Intracellular or membrane-bound
ENSG00000090530	Intracellular or membrane-bound
ENSG00000090554	Intracellular or membrane-bound
ENSG00000090581	Intracellular or membrane-bound
ENSG00000090659	Intracellular or membrane-bound
ENSG00000091129	Intracellular or membrane-bound
ENSG00000092330	Intracellular or membrane-bound
ENSG00000094880	Intracellular or membrane-bound
ENSG00000095110	Intracellular or membrane-bound
ENSG00000095539	Intracellular or membrane-bound
ENSG00000095917	Intracellular or membrane-bound
ENSG00000095970	Intracellular or membrane-bound
ENSG00000096384	Intracellular or membrane-bound
ENSG00000096996	Intracellular or membrane-bound
ENSG00000099617	Intracellular or membrane-bound
ENSG00000099834	Intracellular or membrane-bound
ENSG00000099998	Intracellular or membrane-bound
ENSG00000100031	Intracellular or membrane-bound
ENSG00000100060	Intracellular or membrane-bound
ENSG00000100201	Intracellular or membrane-bound
ENSG00000100228	Intracellular or membrane-bound
ENSG00000100299	Intracellular or membrane-bound
ENSG00000100350	Intracellular or membrane-bound
ENSG00000100448	Intracellular or membrane-bound
ENSG00000100600	Intracellular or membrane-bound
ENSG00000100601	Intracellular or membrane-bound
ENSG00000100604	Intracellular or membrane-bound
ENSG00000101160	Intracellular or membrane-bound
ENSG00000101346	Intracellular or membrane-bound
ENSG00000102078	Intracellular or membrane-bound
ENSG00000102158	Intracellular or membrane-bound
ENSG00000102226	Intracellular or membrane-bound
ENSG00000102393	Intracellular or membrane-bound
ENSG00000102575	Intracellular or membrane-bound
ENSG00000102580	Intracellular or membrane-bound
ENSG00000102595	Intracellular or membrane-bound
ENSG00000102760	Intracellular or membrane-bound
ENSG00000102805	Intracellular or membrane-bound
ENSG00000102854	Intracellular or membrane-bound
ENSG00000103024	Intracellular or membrane-bound
ENSG00000103066	Intracellular or membrane-bound
ENSG00000103365	Intracellular or membrane-bound
ENSG00000103495	Intracellular or membrane-bound
ENSG00000103642	Intracellular or membrane-bound
ENSG00000103811	Intracellular or membrane-bound
ENSG00000103978	Intracellular or membrane-bound
ENSG00000104413	Intracellular or membrane-bound
ENSG00000104499	Intracellular or membrane-bound
ENSG00000104518	Intracellular or membrane-bound
ENSG00000104691	Intracellular or membrane-bound
ENSG00000104763	Intracellular or membrane-bound
ENSG00000104774	Intracellular or membrane-bound
ENSG00000104938	Intracellular or membrane-bound
ENSG00000104972	Intracellular or membrane-bound
ENSG00000105131	Intracellular or membrane-bound
ENSG00000105371	Intracellular or membrane-bound
ENSG00000105388	Intracellular or membrane-bound
ENSG00000105492	Intracellular or membrane-bound
ENSG00000105612	Intracellular or membrane-bound
ENSG00000106003	Intracellular or membrane-bound
ENSG00000106066	Intracellular or membrane-bound
ENSG00000106080	Intracellular or membrane-bound
ENSG00000106089	Intracellular or membrane-bound
ENSG00000106105	Intracellular or membrane-bound
ENSG00000106123	Intracellular or membrane-bound
ENSG00000106331	Intracellular or membrane-bound
ENSG00000106484	Intracellular or membrane-bound
ENSG00000106541	Intracellular or membrane-bound
ENSG00000106591	Intracellular or membrane-bound
ENSG00000106714	Intracellular or membrane-bound
ENSG00000106799	Intracellular or membrane-bound
ENSG00000106868	Intracellular or membrane-bound
ENSG00000107159	Intracellular or membrane-bound
ENSG00000107249	Intracellular or membrane-bound
ENSG00000107566	Intracellular or membrane-bound
ENSG00000107611	Intracellular or membrane-bound
ENSG00000107789	Intracellular or membrane-bound
ENSG00000107798	Intracellular or membrane-bound
ENSG00000108064	Intracellular or membrane-bound
ENSG00000108242	Intracellular or membrane-bound
ENSG00000108474	Intracellular or membrane-bound
ENSG00000108561	Intracellular or membrane-bound
ENSG00000108641	Intracellular or membrane-bound
ENSG00000108784	Intracellular or membrane-bound
ENSG00000108823	Intracellular or membrane-bound
